21:21:10.573 INFO  com.kt.dc.otn.DCServerApplication [55] - Starting DCServerApplication on WIN-GLI7I9HCIR2 with PID 10224 (F:\job\DC\service-kt-dc-adapter\service-kt-dc-mtosi\target\classes started by Administrator in F:\job\DC\service-kt-dc-adapter)
21:21:10.576 DEBUG com.kt.dc.otn.DCServerApplication [56] - Running with Spring Boot v2.2.4.RELEASE, Spring v5.2.3.RELEASE
21:21:10.576 INFO  com.kt.dc.otn.DCServerApplication [655] - The following profiles are active: dev
21:21:10.617 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [225] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
21:21:10.617 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor [225] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
21:21:11.780 INFO  o.s.b.w.e.tomcat.TomcatWebServer [92] - Tomcat initialized with port(s): 8761 (http)
21:21:11.790 INFO  o.a.coyote.http11.Http11NioProtocol [173] - Initializing ProtocolHandler ["http-nio-8761"]
21:21:11.791 INFO  o.a.catalina.core.StandardService [173] - Starting service [Tomcat]
21:21:11.791 INFO  o.a.catalina.core.StandardEngine [173] - Starting Servlet engine: [Apache Tomcat/9.0.30]
21:21:11.985 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [173] - Initializing Spring embedded WebApplicationContext
21:21:11.985 INFO  o.s.web.context.ContextLoader [284] - Root WebApplicationContext: initialization completed in 1367 ms
21:21:12.169 INFO  o.s.s.c.ThreadPoolTaskExecutor [171] - Initializing ExecutorService 'applicationTaskExecutor'
21:21:12.342 INFO  o.s.b.d.a.OptionalLiveReloadServer [58] - LiveReload server is running on port 35729
21:21:12.390 INFO  o.a.coyote.http11.Http11NioProtocol [173] - Starting ProtocolHandler ["http-nio-8761"]
21:21:12.411 INFO  o.s.b.w.e.tomcat.TomcatWebServer [204] - Tomcat started on port(s): 8761 (http) with context path ''
21:21:12.414 INFO  com.kt.dc.otn.DCServerApplication [61] - Started DCServerApplication in 2.397 seconds (JVM running for 3.529)
21:22:10.056 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:22:10.056 INFO  o.s.web.servlet.DispatcherServlet [525] - Initializing Servlet 'dispatcherServlet'
